t
b'me to myself https://t.co/Dv7EYZLcfF'
b'When you steal @st_vincent guitar \xf0\x9f\x8e\xb8\xf0\x9f\xa4\xa3!!! #GoodVibes https://t.co/JAZ8ZVkalJ'
b'MOOD!!!!!! Exactly how I feel today!!! Feel me??? \xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5 (chopdailykids on IG) https://t.co/dIT0iUegTa'
b'Pure art! @Crowezilla \xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8 #inspiration https://t.co/Ubzp2wfI2k'
b'@chloexhalle @iamrashidajones \nAnd big love to all the nominees and an incredible year of musiccc \xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5 https://t.co/rbLXu5JUuq'
b'@sza @iamcardib @RealLindaPerry @KaceyMusgraves https://t.co/ieRcxn4j7q'
b'Biiiggggg masssiiveee love to all my beautiful sisters nominated for the #GRAMMYS y\xe2\x80\x99all are SHINING!!!! \xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xe2\x80\xa6 https://t.co/jItMKpQ8i0'
b'Love this!!! \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/1QG5ewDw7A'
b'In my zone \xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8 https://t.co/MklV5DBxC8'
b'If you feel this say... \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbd @EmmaWatson https://t.co/IoBQyS96Wv'
b'What can I say?? ..... #sheisthemusic \xf0\x9f\x98\x89\xf0\x9f\x98\x89\xf0\x9f\x98\x98\xf0\x9f\x98\x98 https://t.co/IxtWuqC0ZM'
b'Big love to all the artists at #nocommission tonight ! \nBig \xf0\x9f\x92\x9c to my \xf0\x9f\x92\x9c @therealswizzz the heartbeat of #nocommission\xe2\x80\xa6 https://t.co/6Qy18MZaPW'
b'We want you a part of this too!  \xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5#WomenInMusic #SheIsTheMusic x @billboard https://t.co/BHC4o9SjhB'
b'Sooooo excited to be a part of #SheIsTheMusic - a collective driving inclusivity and equality for women across the\xe2\x80\xa6 https://t.co/ncKxHzFS03'
"b""It's in the arch of my back, \nThe sun of my smile, \nThe ride of my breasts, \nThe grace of my style. \nI'm a woman \nP\xe2\x80\xa6 https://t.co/twILTQD9u5"""
