t
b'\xf0\x9f\x92\xaf https://t.co/RfQ4WA7rbK'
b'#Hindsight \xf0\x9f\x91\x80 @BookSoup! Support your local shops today \xf0\x9f\x99\x8c #SmallBusinessSaturday https://t.co/IYDNUq6eEW'
b'Sunday Times \xf0\x9f\x99\x8c #HINDSIGHT \n\nhttps://t.co/8HEQJhQhuT https://t.co/MoT4SjzJLb'
"b""My collaboration with @levis has been a long time coming. I've been really hands on since day one, working on Fresh\xe2\x80\xa6 https://t.co/M9MwFW2ajC"""
b'\xf0\x9f\x92\xaf https://t.co/L2thaSx3ea'
"b'And I want to thank MY better half, my rock, my soulmate, my publicist @jimmyfallon... https://t.co/NZWRraEpCM https://t.co/146rWnOjSr'"
b'\xf0\x9f\x99\x8c https://t.co/bZCcC8Q1f2'
b'\xf0\x9f\x99\x8c https://t.co/ZapcMdgrzj'
b'It\xe2\x80\x99s #TheLastWeekend to get out there and get involved! My absentee ballot\xe2\x80\x99s in... make sure you GO VOTE on Tuesday\xe2\x80\xa6 https://t.co/EdI7mamOTk'
b'#HINDSIGHT https://t.co/lWAOfRZ8sF https://t.co/kf7RsVknGP'
b'#safeword @JessicaBiel @jimmyfallon @FallonTonight https://t.co/jxTFLEdQ1G'
b'TONIGHT @jimmyfallon @FallonTonight https://t.co/NplnePHoIN'
b'Come and get em \xf0\x9f\xa4\xab #Hindsight @BNBuzz @HarperCollins \n\nhttps://t.co/xZPRKFhKf7 https://t.co/UB9m7Yi6Di'
b'\xf0\x9f\x99\x8c https://t.co/ZqysAVBPo5'
b'https://t.co/NZWRraEpCM https://t.co/8VnCtzqnkz'
b'Out here fighting crime in these streets. https://t.co/VaFDtBCVY5'
b'HINDSIGHT is out TODAY! \nhttps://t.co/NZWRraEpCM https://t.co/ebzNL0DCxG'
b'TOMORROW \xf0\x9f\x99\x8c #Hindsight \nhttps://t.co/NZWRraEpCM'
b'\xf0\x9f\x99\x8c https://t.co/Jl3uZeybMS'
b'I won\xe2\x80\x99t say it out loud (because I can\xe2\x80\x99t) but I\xe2\x80\x99m so excited this is hitting bookstores in 2 DAYS. If you haven\xe2\x80\x99t a\xe2\x80\xa6 https://t.co/QelmHYyaYU'
"b'Memphis isn\xe2\x80\x99t an easy place to describe, but if you\xe2\x80\x99re from there, you\xe2\x80\x99re proud to be. I know I am. I write a lot m\xe2\x80\xa6 https://t.co/BNw2vqxqk0'"
b'https://t.co/b1JVdePdOS'
b'ROUND 2 tomorrow \xf0\x9f\xa4\x99\nhttps://t.co/3EGfSebIjF'
b'@RealHughJackman @WattsUpPhoto sound ON \xf0\x9f\x94\x88'
b'Backstage at @TheGarden... with a copy of MY BOOK. It\xe2\x80\x99s coming out in a week! You can pre-order it right here \xe2\x80\x94&gt;\xe2\x80\xa6 https://t.co/TTwVygmlg7'
b'Made these jeans with @levis. They\xe2\x80\x99re out now. 501 ST https://t.co/2hBOav9bYb https://t.co/THkhm6nNPH'
"b'Congrats to @ellenpompeo, @Yarashahidi, @WillAndGrace\xe2\x80\x99s @MaxMutchnick &amp; David Kohan, @20thCenturyFox Films, and Stu\xe2\x80\xa6 https://t.co/h68HF1pjfT'"
b'\xf0\x9f\x92\xaf https://t.co/Jl3uZePMEq'
b'Back in the 6 last night. Thank you Toronto. https://t.co/tbPm1oMUcq https://t.co/KPlaUQK70o'
b'Hope you got your phone back after this \xf0\x9f\xa4\x99 #VZUp @verizon \n\nhttps://t.co/7R5JB30aYN https://t.co/lLADlqXhsn'
b'\xf0\x9f\x99\x8c https://t.co/UN8AV96g9O'
