address,city,zip,beds,baths,sqft,year,saleprice,zestimate,rent,type,hoa,tax,apprec,url
"7304 Catbrier Ct,", Fort Worth,['76137'],3 bd,2 ba,"1,740 sqft",1979.0,"$200,000","$204,985","$1,545/mo",Single Family,HOA fees$0/mo,"2018$4,888(+7.1%)$168,000(+8.7%)",(+5.0 %),https://www.zillow.com/homedetails/7304-Catbrier-Ct-Fort-Worth-TX-76137/29119076_zpid/
"4001 Byers Ave,", Fort Worth,['76107'],3 bd,3 ba,"2,350 sqft",1922.0,"$385,000","$395,150","$2,595/mo",Single Family,HOA fees$0/mo,"2018$8,086(+1.5%)$324,756(+2.6%)",(+2.2 %),https://www.zillow.com/homedetails/4001-Byers-Ave-Fort-Worth-TX-76107/29070354_zpid/
"5617 Donnelly Ave,", Fort Worth,['76107'],3 bd,2 ba,"1,300 sqft",1944.0,"$91,000","$97,935","$1,185/mo",Single Family,HOA fees$0/mo,"2018$1,149(-1.2%)$41,740--",(+4.9 %),https://www.zillow.com/homedetails/5617-Donnelly-Ave-Fort-Worth-TX-76107/97681549_zpid/
"7021 Misty Meadow Dr S,", Fort Worth,['76133'],3 bd,2 ba,"1,623 sqft",1979.0,"$150,000","$159,331","$1,450/mo",Single Family,HOA fees$0/mo,"2018$1,014(+2.9%)$138,016(+9.6%)",(+6.8 %),https://www.zillow.com/homedetails/7021-Misty-Meadow-Dr-S-Fort-Worth-TX-76133/29111370_zpid/
"11820 Balliol Ln,", Crowley,['76036'],5 bd,3 ba,"3,708 sqft",2002.0,"$240,000","$240,462","$1,695/mo",Single Family,HOA fees$0/mo,"2018$5,088(+9.6%)$232,061(+15%)",(+4.1 %),https://www.zillow.com/homedetails/11820-Balliol-Ln-Crowley-TX-76036/83788655_zpid/
"2012 Taxco Rd,", Fort Worth,['76116'],3 bd,4 ba,"2,638 sqft",1984.0,"$325,000","$358,037","$2,400/mo",Single Family,HOA fees$0/mo,"2018$10,650(+16.8%)$387,113(+18.2%)",(+2.8 %),https://www.zillow.com/homedetails/2012-Taxco-Rd-Fort-Worth-TX-76116/29233441_zpid/
"833 Woodmark Dr,", Crowley,['76036'],4 bd,2 ba,"2,132 sqft",2016.0,"$240,000","$244,305","$1,725/mo",Single Family,HOA fees$0/mo,"2018$5,448(+0.6%)$213,687--",,https://www.zillow.com/homedetails/833-Woodmark-Dr-Crowley-TX-76036/245199084_zpid/
"4121 Micki Lynn Ave,", Fort Worth,['76107'],3 bd,2 ba,"2,113 sqft",1956.0,"$255,000","$261,917","$1,800/mo",Single Family,HOA fees$0/mo,"2018$6,036(+4.7%)$236,594(+14.3%)",(+7.2 %),https://www.zillow.com/homedetails/4121-Micki-Lynn-Ave-Fort-Worth-TX-76107/29122493_zpid/
"12937 Palancar Dr,", Keller,['76244'],4 bd,3 ba,"2,619 sqft",2016.0,"$325,000","$342,074","$2,500/mo",Single Family,HOA fees$0/mo,"2018$8,093(+140.1%)$309,986(+58.3%)",,https://www.zillow.com/homedetails/12937-Palancar-Dr-Keller-TX-76244/245197762_zpid/
"8845 Stirrup Way,", Fort Worth,['76244'],3 bd,3 ba,"1,924 sqft",2004.0,"$217,000","$221,915","$1,650/mo",Single Family,HOA fees$23/mo,"2018$3,900(-25.1%)$189,000(-8.6%)",(+5.0 %),https://www.zillow.com/homedetails/8845-Stirrup-Way-Fort-Worth-TX-76244/70553011_zpid/
