address,city,zip,beds,baths,sqft,year,saleprice,zestimate,rent,type,hoa,tax,apprec,url
,atlanta,30309,2.0,2.0,1108,1975.0,240000,"['""zestimate"":270586']","['""rentZestimate"":1700']",townhouse,"['HOA Fee"",""factValue"":""$26']",,"+$3,401 (+1.3 %)",https://www.zillow.com/homedetails/136-Peachtree-Memorial-Dr-NW-APT-GA5-Atlanta-GA-30309/2087582810_zpid/
,atlanta,30308,2.0,,992,1965.0,199000,"['""zestimate"":206909']","['""rentZestimate"":1595']",condo,[],,Unavailable,https://www.zillow.com/homedetails/620-Peachtree-St-NE-APT-711-Atlanta-GA-30308/2086336462_zpid/
,atlanta,30315,4.0,3.0,1834,1953.0,244800,"['""zestimate"":224562']","['""rentZestimate"":1509']",single family,[],"2017 $959 +0.6% $10,800 --","$256,091 (+14.0 %)",https://www.zillow.com/homedetails/2877-Diana-Dr-SW-Atlanta-GA-30315/35828432_zpid/
,atlanta,30311,5.0,5.0,3109,1999.0,315000,"['""zestimate"":409418']","['""rentZestimate"":2500']",single family,[],"2017 $4,275 +1.2% $115,000 --","$429,357 (+4.9 %)",https://www.zillow.com/homedetails/1362-Cascade-Falls-Dr-SW-Atlanta-GA-30311/35873138_zpid/
,atlanta,30331,4.0,2.5,2913,2006.0,292000,"['""zestimate"":276867']","['""rentZestimate"":1950']",single family,"['HOA Fee"",""factValue"":""$50']","2017 $3,003 +24.3% $83,800 --","$287,166 (+3.7 %)",https://www.zillow.com/homedetails/3095-Dawson-Ln-SW-Atlanta-GA-30331/82619816_zpid/
,atlanta,30363,2.0,,980,2004.0,179900,"['""zestimate"":175381']","['""rentZestimate"":1629']",condo,[],,+$730 (+0.4 %),https://www.zillow.com/homedetails/400-17th-St-NW-UNIT-1337-Atlanta-GA-30363/2086761526_zpid/
,atlanta,30309,3.0,2.0,1300,1964.0,199900,"['""zestimate"":271307']","['""rentZestimate"":1850']",condo,[],,"-$339,493 (-55.6 %)",https://www.zillow.com/homedetails/115-Biscayne-Dr-NW-APT-A10-Atlanta-GA-30309/2088407089_zpid/
,atlanta,30324,3.0,3.0,1497,1950.0,275000,"['""zestimate"":410638']","['""rentZestimate"":2135']",single family,[],"2017 $6,431 +204.2% $36,400 --","$423,614 (+3.2 %)",https://www.zillow.com/homedetails/2358-Armand-Rd-NE-Atlanta-GA-30324/35929544_zpid/
,atlanta,30331,3.0,3.0,1330,1994.0,155000,"['""zestimate"":151737']","['""rentZestimate"":1370']",single family,[],"2017 $2,393 +44.3% $27,200 --","+$5,902 (+4.0 %)",https://www.zillow.com/homedetails/2407-Sandfall-Ct-SW-Atlanta-GA-30331/35885401_zpid/
,atlanta,30318,7.0,4.0,2938,2004.0,299999,"['""zestimate"":302692']","['""rentZestimate"":2050']",single family,"['HOA Fee"",""factValue"":""$37']","2017 $4,526 +17% $77,720 --","$314,255 (+3.8 %)",https://www.zillow.com/homedetails/2821-Glenlocke-Cir-NW-Atlanta-GA-30318/69364459_zpid/
