,address,city,zip,beds,baths,sqft,year,saleprice,zestimate,rent,type,hoa,tax,apprec,url
391,,phoenix,85040,4.0,2.0,2019,2019.0,269900,"['""zestimate"":229188']","['""rentZestimate"":1445']",single family,[],"2018 $283 +4.9% $2,310 +29.4%",Unavailable,0
392,,laveen,85339,4.0,2.0,1666,2006.0,219900,"['""zestimate"":216863']","['""rentZestimate"":1355']",single family,"['HOA Fee"",""factValue"":""$46']","2018 $1,670 +5.4% $13,200 +15%","$224,345 (+3.5 %)",0
393,,tolleson,85353,4.0,3.0,2203,2010.0,235000,"['""zestimate"":233862']","['""rentZestimate"":1400']",single family,"['HOA Fee"",""factValue"":""$64']","2018 $1,505 +6.3% $15,000 +11.9%","$239,896 (+2.6 %)",0
394,,phoenix,85041,4.0,2.5,1939,2004.0,225000,"['""zestimate"":225774']","['""rentZestimate"":1375']",single family,"['HOA Fee"",""factValue"":""$63']","2018 $1,810 +5.4% $15,030 +15.3%","$233,766 (+3.5 %)",0
395,,phoenix,85041,,,,2019.0,347165,"['""zestimate"":279565']",[],single family,"['HOA Fee"",""factValue"":""$119']",,Unavailable,0
396,,tolleson,85353,,,,,272995,"['""zestimate"":238310']","['""rentZestimate"":1450']",sun-thu 10am-6pm; fri 1pm-6pm; sat 10am-6pm,"['HOA Fee"",""factValue"":""$64']",,Unavailable,0
397,,phoenix,85085,4.0,2.0,2108,2006.0,335900,"['""zestimate"":334134']","['""rentZestimate"":1795']",single family,"['HOA Fee"",""factValue"":""$54']","2018 $2,095 +3.6% $24,070 +4.6%","$339,881 (+1.7 %)",0
398,,phoenix,85050,2.0,2.5,1497,2010.0,325000,"['""zestimate"":321955']","['""rentZestimate"":1700']",single family,"['HOA Fee"",""factValue"":""$165']","2018 $2,506 +4.7% $24,280 +2.6%","$327,782 (+1.8 %)",0
399,,phoenix,85035,2.0,2.5,1284,2016.0,175900,"['""zestimate"":171748']","['""rentZestimate"":1316']",townhouse,"['HOA Fee"",""factValue"":""$137']","2018 $1,898 +4.9% $12,900 +9.5%","+$1,455 (+0.9 %)",0
400,,phoenix,85053,3.0,2.5,1788,2005.0,190000,"['""zestimate"":191929']","['""rentZestimate"":1350']",townhouse,"['HOA Fee"",""factValue"":""$184']","2018 $1,081 +0.3% $13,660 +8.4%","$204,942 (+6.8 %)",0
